record_type,player_id,school,season,jersey,name,position,is_goalkeeper,class_year,hometown,height,weight,previous_school,game_id,date,opponent,score,location,conference,division,games_played,games_started,minutes,goals,assists,shots,shots_on_goal,fouls,yellow_cards,red_cards,saves,goals_against,save_percentage,shutouts
player_game_stat,Harding_2024_player_3,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_3,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_4,Harding,2024,4,Ethan Boles,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_003,09/28/24,at Rogers St.,,,,,*,* ,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_006,10/10/24,NEWMAN,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_009,10/19/24,ROGERS ST.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_011,10/26/24,at Newman,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_4,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_5,Harding,2024,5,Matheus Barbosa,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_004,10/03/24,SOUTHERN NAZARENE,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_009,10/19/24,ROGERS ST.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_010,10/24/24,at Fort Hays St.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_5,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_6,Harding,2024,6,Ayaan Yousuf,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_003,09/28/24,at Rogers St.,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_004,10/03/24,SOUTHERN NAZARENE,,,,,*,0 ,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_005,10/06/24,DELTA ST.,,,,,*,1,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_006,10/10/24,NEWMAN,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_009,10/19/24,ROGERS ST.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_010,10/24/24,at Fort Hays St.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_011,10/26/24,at Newman,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_6,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_7,Harding,2024,7,Cian Halpin,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,*,1,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_010,10/24/24,at Fort Hays St.,,,,,*,0 ,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_011,10/26/24,at Newman,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_013,11/02/24,at Southern Nazarene,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_7,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,*,2,0,0,0,0,0,0,0,,,,
